Iteracao Numerador Denominador Erro
241 189 60 0.008407346410206795
242 189 61 0.04323199785208809
243 190 61 0.026838555229137473
244 191 61 0.010445112606186413
245 192 61 0.005948330016764203
246 192 62 0.044818460041406105
247 193 62 0.028689427783341603
248 194 62 0.012560395525277102
249 195 62 0.0035686367327874002
250 195 63 0.04635455835169777
251 196 63 0.030481542478681956
252 197 63 0.014608526605666139
253 198 63 0.0012644892673496777
254 198 64 0.047842653589793116
255 199 64 0.032217653589793116
256 200 64 0.016592653589793116
257 201 64 0.000967653589793116
